скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,,9.0,-8720.0,-1.0,27.0,10300.0,2.11,130.48,15:37:40.895612
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,22.5,6000.0,0.0,0.0,9.0,-8820.0,-1.0,27.0,10100.0,2.11,130.48,15:37:41.244796
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,9.0,-8810.0,-1.0,27.0,10300.0,2.11,130.48,15:37:41.626330
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8720.0,-1.0,27.0,10300.0,-2.0,352.3,-1.6,15:37:42.000110
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8750.0,-1.0,27.0,10300.0,-2.0,352.3,-1.6,15:37:42.389757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8720.0,-1.0,27.0,10200.0,-2.0,352.3,-1.6,15:37:42.764703
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8760.0,-1.0,27.0,27.0,10300.0,2.11,130.48,15:37:43.125177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8680.0,-1.0,27.0,10200.0,-2.0,352.3,-1.6,15:37:43.467266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8630.0,-1.0,27.0,10300.0,-2.0,352.3,-1.6,15:37:43.842163
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,22.5,15.0,0.0,0.0,9.0,-8700.0,-1.0,27.0,10300.0,-2.0,352.3,-1.7,15:37:44.217964
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8780.0,-1.0,27.0,10200.0,-2.0,352.3,-1.7,15:37:44.576882
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,22.5,6000.0,0.0,0.0,9.0,-8750.0,-1.0,27.0,10300.0,2.11,130.48,15:37:44.927332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8890.0,-1.0,27.0,10300.0,-2.0,352.3,-1.7,15:37:45.282476
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,22.5,6000.0,0.0,0.0,9.0,-8800.0,-1.0,27.0,10300.0,2.11,130.48,15:37:45.656529
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,0.0,-8750.0,-1.0,27.0,10200.0,-2.0,352.3,-1.7,15:37:46.033709
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8690.0,-1.0,27.0,10200.0,10300.0,2.11,130.48,15:37:46.424704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8710.0,-1.0,27.0,10300.0,-2.0,352.3,-1.7,15:37:46.802978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,22.5,6000.0,0.0,0.0,9.0,-8700.0,-1.0,27.0,10300.0,2.11,-1.7,15:37:47.146555
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8700.0,-8700.0,-1.0,27.0,10300.0,2.11,-1.7,15:37:47.522299
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8710.0,-1.0,27.0,10300.0,-2.0,352.3,-1.7,15:37:47.878642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8720.0,-1.0,27.0,10200.0,-2.0,352.3,-1.7,15:37:48.254743
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8690.0,-1.0,27.0,10200.0,-2.0,352.3,-1.7,15:37:48.629080
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,22.5,15.0,0.0,0.0,9.0,-8690.0,-1.0,27.0,10200.0,-2.0,352.3,-1.7,15:37:49.004286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8730.0,-1.0,27.0,10200.0,-2.0,352.3,-1.7,15:37:49.378989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8720.0,-1.0,27.0,10300.0,-2.0,352.3,-1.7,15:37:49.755444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,22.5,15.0,0.0,0.0,9.0,-8700.0,-1.0,27.0,10300.0,-2.0,352.3,-1.7,15:37:50.147350
