скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.0,0.0,4045.0,2020.0,14:48:12.700703
0.0,0.0,4045.0,2025.0,14:48:13.102065
0.0,0.0,4057.0,2023.0,14:48:13.503956
0.0,0.0,4043.0,2032.0,14:48:13.905286
0.0,0.0,4055.0,2020.0,14:48:14.307025
0.0,0.0,4046.0,2013.0,14:48:14.708919
0.0,0.0,4062.0,2024.0,14:48:15.109897
0.0,0.0,4067.0,2017.0,14:48:15.488440
0.0,0.0,4054.0,2017.0,14:48:15.889585
0.0,0.0,4057.0,2020.0,14:48:16.290615
0.0,0.0,4051.0,2009.0,14:48:16.691697
0.0,0.0,4044.0,2020.0,14:48:17.092859
0.0,0.0,4047.0,2020.0,14:48:17.494133
0.0,0.0,4052.0,2022.0,14:48:17.894991
0.0,0.0,4040.0,2027.0,14:48:18.296059
0.0,0.0,4053.0,2017.0,14:48:18.696986
0.0,0.0,4056.0,2028.0,14:48:19.097734
0.0,0.0,4055.0,2010.0,14:48:19.521513
0.0,0.0,4059.0,2015.0,14:48:19.923116
0.0,0.0,4057.0,2033.0,14:48:20.324549
0.0,0.0,2025.0,4075.0,14:48:20.726476
0.0,0.0,4050.0,2011.0,14:48:21.128068
0.2,0.21,2016.0,4068.0,14:48:21.529606
0.86,0.88,2009.0,4063.0,14:48:21.931205
1.36,1.41,4057.0,2007.0,14:48:22.347743
1.55,1.52,2021.0,4073.0,14:48:22.733483
1.62,1.63,2027.0,4069.0,14:48:23.112682
1.8,1.87,4057.0,2015.0,14:48:23.514186
2.01,1.76,4060.0,4060.0,14:48:23.916783
2.06,1.74,2015.0,4057.0,14:48:24.315922
2.24,1.8,2022.0,4065.0,14:48:24.739225
2.49,2.01,4039.0,4061.0,14:48:25.140395
2.63,2.09,4064.0,2025.0,14:48:25.541987
2.77,2.28,2026.0,2010.0,14:48:25.943113
2.9,2.34,4052.0,2006.0,14:48:26.344613
3.0,2.32,4062.0,4069.0,14:48:26.746579
2.98,2.55,4050.0,2018.0,14:48:27.144009
3.14,2.45,2023.0,4066.0,14:48:27.540251
3.45,2.75,4057.0,4070.0,14:48:27.936882
3.74,3.04,4057.0,2023.0,14:48:28.335723
3.88,3.05,2021.0,4060.0,14:48:28.736565
4.08,3.28,4065.0,2022.0,14:48:29.137491
4.11,3.3,2026.0,4051.0,14:48:29.538418
4.21,3.39,4036.0,4064.0,14:48:29.941331
4.25,3.42,4060.0,4069.0,14:48:30.340462
4.16,3.49,2023.0,2019.0,14:48:30.741303
4.2,3.52,2028.0,2014.0,14:48:31.142234
3.69,2.99,4055.0,4062.0,14:48:31.543052
2.9,2.34,2018.0,4058.0,14:48:31.945779
2.42,2.14,2022.0,2018.0,14:48:32.366706
2.45,1.92,4054.0,4060.0,14:48:32.767893
2.52,1.89,2018.0,4069.0,14:48:33.169287
2.44,1.81,2021.0,4067.0,14:48:33.570652
2.72,1.99,2027.0,4067.0,14:48:33.972235
3.03,2.17,2021.0,4059.0,14:48:34.373470
3.34,2.4,4056.0,4062.0,14:48:34.775321
3.42,2.46,2055.0,4068.0,14:48:35.176987
3.61,2.72,2023.0,4076.0,14:48:35.578412
3.43,2.72,4056.0,4065.0,14:48:35.980264
2.09,1.84,2023.0,2007.0,14:48:36.381017
1.12,1.2,4060.0,4073.0,14:48:36.781802
0.57,0.74,4056.0,4070.0,14:48:37.182853
0.18,0.15,2020.0,2016.0,14:48:37.584135
0.29,0.17,2019.0,4073.0,14:48:37.985237
0.2,0.5,4061.0,2020.0,14:48:38.386777
0.18,0.15,4049.0,2010.0,14:48:38.788343
0.0,0.0,4065.0,2008.0,14:48:39.189665
0.0,0.0,4043.0,2021.0,14:48:39.591070
0.41,0.71,2014.0,4073.0,14:48:39.992489
1.07,1.32,4054.0,4067.0,14:48:40.394055
1.11,1.21,4057.0,2021.0,14:48:40.795935
1.22,1.44,4063.0,4074.0,14:48:41.197665
