скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,положение рейки перед,ток рейки перед,положение рейки зад,ток рейки зад,time
0.0,0.0,4077.0,4042.0,-16.0,21700.0,0.0,15300.0,12:00:50.821272
0.0,0.0,4079.0,4044.0,-16.0,21600.0,0.0,15400.0,12:00:51.539157
0.0,0.0,4084.0,4044.0,-16.0,21500.0,0.0,15400.0,12:00:52.284620
0.0,0.0,4072.0,4042.0,-16.0,21400.0,0.0,15400.0,12:00:53.029213
0.0,0.0,4072.0,4046.0,-16.0,21500.0,0.0,15300.0,12:00:53.755114
0.0,0.0,4078.0,4041.0,-16.0,21400.0,0.0,15300.0,12:00:54.474038
0.0,0.0,4076.0,4045.0,-16.0,21300.0,0.0,15300.0,12:00:55.242169
0.0,0.0,4080.0,4048.0,-16.0,21500.0,0.0,15400.0,12:00:55.969233
0.0,0.0,4074.0,4041.0,-16.0,21400.0,0.0,15400.0,12:00:56.689647
0.0,0.0,4080.0,4042.0,-16.0,21400.0,0.0,15300.0,12:00:57.458649
0.0,0.0,4078.0,4042.0,-16.0,21400.0,0.0,15300.0,12:00:58.194171
0.0,0.0,4074.0,4043.0,-16.0,21400.0,0.0,15300.0,12:00:58.926067
0.0,0.0,4085.0,4040.0,-16.0,21300.0,0.0,15300.0,12:00:59.656298
0.0,0.0,2020.0,4038.0,-163.0,27100.0,145.0,17600.0,12:01:00.454274
0.0,0.0,4084.0,4044.0,-822.0,-32736.0,765.0,16000.0,12:01:01.192595
0.0,0.0,4076.0,2014.0,-921.0,-31436.0,933.0,22800.0,12:01:01.909604
0.0,0.0,4074.0,2019.0,-949.0,29800.0,970.0,32700.0,12:01:02.626421
0.0,0.0,4070.0,2018.0,-960.0,29900.0,990.0,-19636.0,12:01:03.373247
0.0,0.0,4082.0,2018.0,-976.0,-31236.0,997.0,-13136.0,12:01:04.108707
0.0,0.0,4069.0,2026.0,-981.0,-31136.0,1000.0,-10936.0,12:01:04.843352
0.0,0.0,4072.0,2013.0,-981.0,-31336.0,1000.0,-10836.0,12:01:05.587142
0.0,0.0,4077.0,2022.0,-981.0,-31336.0,1000.0,-10836.0,12:01:06.336573
0.0,0.0,4086.0,2026.0,-981.0,-31336.0,1000.0,-10836.0,12:01:07.068869
0.0,0.0,4080.0,2029.0,-981.0,-31336.0,1000.0,-10836.0,12:01:07.800077
0.0,0.0,4079.0,2021.0,-981.0,-31336.0,1000.0,-10936.0,12:01:08.550845
0.0,0.0,4083.0,2027.0,-981.0,-31336.0,985.0,-10936.0,12:01:09.282645
0.27,0.0,4078.0,2023.0,-228.0,15600.0,290.0,15700.0,12:01:10.011679
0.15,0.15,2020.0,4046.0,-46.0,21500.0,-151.0,20700.0,12:01:10.747449
0.0,0.0,2015.0,2011.0,483.0,25800.0,-654.0,27300.0,12:01:11.480464
0.0,0.29,4076.0,2024.0,876.0,22600.0,-902.0,20600.0,12:01:12.226791
0.0,0.0,4082.0,2015.0,957.0,30400.0,-954.0,-30936.0,12:01:12.958869
0.0,0.0,2023.0,2016.0,983.0,-32536.0,-961.0,-7836.0,12:01:13.674290
0.0,0.0,2027.0,2012.0,993.0,-32136.0,-961.0,-4336.0,12:01:14.406654
0.0,0.0,2025.0,2013.0,997.0,-32636.0,-961.0,-4036.0,12:01:15.153247
0.0,0.0,2016.0,2013.0,997.0,-32636.0,-961.0,-3936.0,12:01:15.932723
0.0,0.0,2021.0,2017.0,998.0,32600.0,-953.0,-3936.0,12:01:16.651544
0.63,1.2,2018.0,2013.0,256.0,20100.0,-279.0,18600.0,12:01:17.382580
0.0,0.0,4074.0,2023.0,79.0,20900.0,-69.0,16100.0,12:01:18.114558
0.0,0.0,4076.0,2025.0,15.0,23000.0,-28.0,16100.0,12:01:18.911181
0.0,0.0,4076.0,2016.0,-7.0,23500.0,-7.0,17000.0,12:01:19.640923
0.0,0.0,4077.0,2022.0,-14.0,23400.0,-4.0,16800.0,12:01:20.373058
0.0,0.0,4083.0,2026.0,-15.0,22900.0,0.0,16600.0,12:01:21.121554
0.0,0.0,4075.0,2016.0,-15.0,22900.0,1.0,16400.0,12:01:21.867841
0.0,0.0,4075.0,2023.0,-15.0,22800.0,1.0,16400.0,12:01:22.600328
0.0,0.0,4081.0,2020.0,-15.0,22800.0,1.0,16300.0,12:01:23.331297
0.0,0.0,4074.0,2019.0,-149.0,25300.0,503.0,19900.0,12:01:24.064229
0.0,0.0,2021.0,2013.0,-593.0,24900.0,906.0,16000.0,12:01:24.812248
0.16,0.0,4074.0,4043.0,-858.0,28500.0,947.0,22300.0,12:01:25.559525
0.0,0.0,2030.0,4046.0,-939.0,-31336.0,981.0,-27936.0,12:01:26.306235
0.0,0.0,2016.0,4042.0,-938.0,26500.0,995.0,-15936.0,12:01:27.024389
0.0,0.0,2022.0,4042.0,-967.0,31600.0,997.0,-12936.0,12:01:27.762962
0.0,0.0,2033.0,4036.0,-978.0,-31336.0,999.0,-11636.0,12:01:28.496041
