Использовать заднюю рулевую рейку,Работа,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Множитель для показаний тока рулевых,Работа,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Множитель для показаний тока рулевых,time
1.0,1.0,-12.0,1.0,-11.0,200.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:32.852026
1.0,1.0,-12.0,1.0,-11.0,900.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:33.335633
1.0,1.0,-12.0,1.0,-11.0,300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4100.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:33.807285
1.0,1.0,-12.0,1.0,-11.0,300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:34.304017
1.0,1.0,-12.0,1.0,-11.0,0.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4100.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:34.794309
1.0,1.0,-12.0,1.0,-11.0,0.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:35.280473
1.0,1.0,-12.0,1.0,-11.0,0.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:35.926793
1.0,1.0,-12.0,1.0,-11.0,100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:36.466529
1.0,1.0,-12.0,1.0,-11.0,700.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:36.944276
1.0,1.0,-12.0,1.0,-11.0,200.0,13.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:37.421536
