скорость ПП колеса,скорость ПЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,0.0,0.0,36.25,27.5,0.0,0.0,346.4,0.0,15:52:02.035150
0.0,0.0,0.0,0.0,0.0,0.0,36.25,27.5,0.0,0.0,346.4,0.0,15:52:02.489297
0.0,0.0,0.0,0.0,0.0,0.0,36.25,27.5,0.0,0.0,346.4,0.0,15:52:02.970978
0.0,0.0,0.0,0.0,0.0,0.0,36.25,27.5,0.0,0.0,346.4,0.0,15:52:03.428377
0.0,0.0,0.0,0.0,0.0,0.0,36.25,27.5,0.0,0.0,346.4,0.0,15:52:03.985720
0.0,0.0,0.0,0.0,0.0,0.0,36.25,27.5,0.0,0.0,346.4,0.0,15:52:04.454342
0.0,0.0,-11.0,-12.5,20.31,3.57,36.25,27.5,0.0,0.0,346.4,0.0,15:52:04.919303
0.21,0.0,-30.0,-38.28,71.09,11.39,36.25,27.5,115.21,0.0,346.4,0.0,15:52:05.356401
0.69,0.0,-12.3,-15.62,25.39,6.45,36.25,27.5,219.28,-0.0,346.4,0.0,15:52:05.857251
0.63,0.62,-35.0,-31.25,55.86,9.75,35.0,27.5,264.33,-0.01,346.4,0.0,15:52:06.299133
1.14,1.03,0.0,-15.62,30.47,8.1,35.0,27.5,619.3,0.02,346.4,0.0,15:52:06.742203
0.92,0.87,4.86,3.91,5.08,1.51,35.0,27.5,457.8,-0.0,346.4,0.0,15:52:07.208062
0.48,0.43,39.0,47.66,91.41,14.69,35.0,27.5,117.16,-0.0,346.4,0.0,15:52:07.716196
1.22,1.25,-3.78,-4.69,10.16,3.57,35.0,27.5,106.1,0.0,346.4,0.0,15:52:08.165044
0.53,0.55,-71.0,-14.84,25.39,5.22,35.0,27.5,319.44,-0.01,346.4,0.0,15:52:08.613112
1.28,2.01,-49.0,-53.91,101.56,18.39,35.0,27.5,1181.2,-0.0,346.4,0.0,15:52:09.120657
1.55,1.47,-0.99,0.0,0.0,1.51,35.0,27.5,557.33,0.0,346.4,0.0,15:52:09.631743
0.67,0.82,-46.0,-14.84,30.47,6.45,35.0,27.5,557.33,0.02,346.4,0.0,15:52:10.120242
1.97,1.88,-22.0,-28.91,45.7,6.45,35.0,27.5,640.44,-0.01,342.8,-5.2,15:52:10.635965
1.33,1.28,-8.73,-10.16,20.31,3.57,35.0,27.5,548.76,0.01,342.8,-5.2,15:52:11.073495
1.11,1.17,-15.0,-14.84,25.39,6.45,35.0,27.5,553.5,0.01,342.8,-5.2,15:52:11.517328
0.93,0.88,-14.0,-14.06,30.47,6.45,35.0,27.5,462.71,-0.0,342.8,-5.2,15:52:11.959273
0.73,0.7,-14.0,-25.78,45.7,8.1,35.0,27.5,268.01,-0.01,342.8,-5.2,15:52:12.478635
0.67,0.57,-17.0,-20.31,40.63,8.1,35.0,27.5,256.05,0.0,342.8,-5.2,15:52:12.981064
0.67,0.61,-17.0,-10.94,20.31,4.8,35.0,27.5,448.4,0.0,342.8,-5.2,15:52:13.531835
0.47,0.5,-19.0,-18.75,35.55,7.27,35.0,27.5,433.7,0.02,342.8,-5.2,15:52:14.002424
0.68,0.72,-13.6,-12.5,25.39,6.45,35.0,27.5,487.56,0.0,342.8,-5.2,15:52:14.452524
1.11,1.04,-9.0,-14.84,30.47,6.45,35.0,27.5,519.99,-0.01,342.8,-5.2,15:52:14.891101
0.7,0.6,7.89,7.81,10.16,3.16,35.0,27.5,317.97,-0.0,342.8,-5.2,15:52:15.360253
0.7,0.22,31.0,39.84,76.17,13.45,35.0,27.5,317.97,0.0,342.8,-5.2,15:52:15.909934
0.66,0.67,-3.54,-4.69,10.16,3.16,35.0,27.5,24.78,0.0,342.8,-5.2,15:52:16.416500
0.32,0.47,-41.0,-53.91,101.56,16.2,35.0,27.5,12.23,-0.0,342.8,-5.2,15:52:16.870937
0.33,0.5,-23.0,-25.78,45.7,9.61,35.0,27.5,121.24,-0.0,342.8,-5.2,15:52:17.303981
1.0,1.05,-26.0,-35.94,66.02,11.39,35.0,27.5,217.82,0.01,344.5,-3.7,15:52:17.821360
1.44,1.63,-18.0,-16.41,35.55,6.86,35.0,27.5,683.15,0.02,344.5,-3.7,15:52:18.270855
1.81,1.72,-16.0,-17.97,35.55,6.86,35.0,27.5,506.56,0.0,344.5,-3.7,15:52:18.785783
1.25,1.3,-12.0,-10.16,20.31,4.8,35.0,27.5,327.88,-0.0,344.5,-3.7,15:52:19.255514
1.26,1.25,-31.0,-42.19,81.25,13.04,35.0,27.5,304.35,-0.01,344.5,-3.7,15:52:19.710108
1.46,1.6,-10.57,-10.16,20.31,4.8,35.0,27.5,449.89,0.01,344.5,-3.7,15:52:20.144770
1.22,1.34,-7.21,-7.81,15.23,4.8,35.0,27.5,449.09,0.01,344.5,-3.7,15:52:20.597864
0.83,0.92,-21.0,-19.53,35.55,6.45,35.0,27.5,390.48,0.02,344.5,-3.7,15:52:21.034292
0.83,1.39,-21.0,-19.53,45.7,8.1,35.0,27.5,550.72,0.0,344.5,-3.7,15:52:21.547952
1.63,1.48,-23.0,-33.59,71.09,10.57,35.0,27.5,434.67,-0.01,344.5,-3.7,15:52:21.996511
1.37,1.33,0.0,-3.12,0.0,3.57,35.0,27.5,364.1,-0.0,344.5,-3.7,15:52:22.450348
0.95,0.94,6.12,4.69,10.16,1.51,35.0,27.5,374.4,-0.0,344.5,-3.7,15:52:22.903726
0.41,0.39,6.12,41.41,76.17,13.45,35.0,27.5,155.38,-0.01,344.5,-3.7,15:52:23.418699
1.37,1.42,31.0,30.47,55.86,11.39,35.0,27.5,211.36,0.01,344.5,-3.7,15:52:23.855655
2.08,2.04,27.0,28.12,50.78,10.16,35.0,27.5,362.2,0.01,344.5,-3.7,15:52:24.288482
1.95,1.86,-5.88,-3.91,5.08,3.16,35.0,27.5,247.31,-0.0,344.5,-3.7,15:52:24.800550
1.87,1.1,-52.0,-58.59,96.48,17.84,35.0,27.5,453.06,0.04,344.5,-3.7,15:52:25.306987
0.87,0.77,0.0,0.0,0.0,1.51,35.0,27.5,617.42,0.0,344.5,-3.7,15:52:25.746005
0.78,0.52,-12.3,-10.16,25.39,4.8,35.0,27.5,230.5,-0.0,344.5,-3.7,15:52:26.212095
0.66,0.57,-22.0,-22.66,35.55,9.61,35.0,27.5,428.67,-0.01,343.9,-2.5,15:52:26.648753
0.71,0.69,-20.0,-19.53,30.47,6.86,35.0,27.5,365.58,-0.01,343.9,-2.5,15:52:27.096906
0.73,0.85,-20.0,-22.66,30.47,7.27,33.75,27.5,513.51,0.02,343.9,-2.5,15:52:27.567106
0.73,1.67,-18.0,-20.31,40.63,6.86,33.75,27.5,767.53,0.02,343.9,-2.5,15:52:28.053351
1.62,1.51,-13.15,-12.5,25.39,6.45,33.75,27.5,689.02,0.01,343.9,-2.5,15:52:28.501099
1.5,1.37,-30.0,-29.69,55.86,10.16,33.75,27.5,605.8,-0.01,343.9,-2.5,15:52:28.958812
1.55,1.37,-19.0,-29.69,35.55,8.1,33.75,27.5,737.09,0.02,343.9,-2.5,15:52:29.517442
1.52,1.46,0.0,0.0,0.0,1.51,33.75,27.5,567.36,0.0,343.9,-2.5,15:52:30.009360
0.75,0.78,0.75,0.0,0.0,0.27,33.75,27.5,152.99,0.0,343.9,-2.5,15:52:30.447158
0.43,0.41,0.75,16.41,30.47,4.8,33.75,27.5,73.47,0.0,343.9,-2.5,15:52:30.948731
0.38,0.47,0.75,24.22,45.7,9.47,35.0,27.5,118.56,0.0,343.9,-2.5,15:52:31.430751
0.88,0.84,23.0,28.12,50.78,10.16,35.0,27.5,156.28,0.01,343.9,-2.5,15:52:31.897513
1.07,1.08,13.54,12.5,25.39,4.8,35.0,27.5,194.97,0.0,343.9,-2.5,15:52:32.352274
0.86,0.8,13.54,-8.59,15.23,3.16,35.0,27.5,56.5,-0.0,343.9,-2.5,15:52:32.854585
0.26,0.59,-26.0,-26.56,55.86,9.61,35.0,27.5,205.79,-0.01,343.9,-2.5,15:52:33.301213
0.59,0.75,-7.45,-7.81,10.16,3.57,35.0,27.5,271.6,-0.0,343.9,-2.5,15:52:33.755444
0.45,0.43,-13.74,-11.72,20.31,4.8,35.0,27.5,178.71,-0.0,343.9,-2.5,15:52:34.203491
0.41,0.43,-17.0,-11.72,40.63,8.1,35.0,27.5,133.37,-0.0,343.9,-2.5,15:52:34.704895
0.52,0.61,-13.44,-11.72,20.31,6.45,35.0,27.5,428.59,0.01,343.9,-2.5,15:52:35.221409
1.09,1.26,-21.0,-20.31,35.55,8.1,35.0,27.5,428.59,-0.0,344.7,-2.2,15:52:35.722894
1.31,1.29,-18.0,-22.66,45.7,8.1,35.0,27.5,357.62,0.01,344.7,-2.2,15:52:36.240244
1.21,1.2,-17.0,-16.41,30.47,6.45,35.0,27.5,457.13,0.01,344.7,-2.2,15:52:36.663587
1.13,1.18,-17.0,-14.06,30.47,6.45,35.0,27.5,640.17,0.01,344.7,-2.2,15:52:37.164711
1.93,1.76,-34.0,-30.47,60.94,10.16,35.0,27.5,900.7,0.04,344.7,-2.2,15:52:37.632776
1.97,1.93,0.0,0.0,0.0,3.16,35.0,27.5,619.35,0.0,344.7,-2.2,15:52:38.117763
1.08,1.06,-14.73,-11.72,20.31,3.57,35.0,27.5,415.18,0.01,344.7,-2.2,15:52:38.710599
1.66,1.72,-20.0,-21.88,35.55,8.1,35.0,27.5,359.87,0.01,344.7,-2.2,15:52:39.362244
1.31,1.31,-5.4,-3.91,5.08,2.88,35.0,27.5,499.11,0.0,344.7,-2.2,15:52:39.816628
1.31,1.17,-12.0,-11.72,20.31,5.22,35.0,27.5,311.88,0.0,344.7,-2.2,15:52:40.415415
0.72,0.72,0.0,0.0,0.0,1.51,35.0,27.5,203.06,0.0,344.7,-2.2,15:52:41.098761
0.45,0.27,-5.76,-5.47,10.16,1.51,35.0,27.5,31.69,0.0,344.7,-2.2,15:52:41.611554
0.15,0.15,-14.0,-17.97,35.55,6.45,35.0,27.5,5.59,0.0,344.7,-2.2,15:52:42.035793
0.26,0.23,-11.0,-14.84,25.39,6.45,35.0,27.5,29.22,0.0,344.7,-2.2,15:52:42.452489
0.44,0.46,-11.0,-13.28,25.39,6.45,35.0,27.5,98.59,0.0,345.3,-1.7,15:52:43.086680
0.44,1.07,-17.0,-13.28,40.63,6.45,35.0,27.5,220.49,0.0,345.3,-1.7,15:52:43.695285
1.77,1.74,-15.0,-14.84,25.39,6.45,35.0,27.5,328.48,0.01,345.3,-1.7,15:52:44.158467
2.16,2.14,-17.0,-17.97,35.55,6.86,35.0,27.5,409.9,0.01,345.3,-1.7,15:52:44.581793
2.16,2.14,-17.0,-17.97,35.55,6.86,35.0,27.5,409.9,0.01,345.3,-1.7,15:59:08.312289
