Задание положения перед,Текущее положение перед,Ток статора перед,Задание положения зад,Текущее положение зад,Ток статора зад,time
-12.0,-11.0,5800.0,-18.0,-17.0,6400.0,13:43:05.959414
-12.0,-11.0,5800.0,-18.0,-17.0,6400.0,13:43:06.380022
-12.0,-11.0,5700.0,-18.0,-17.0,6300.0,13:43:06.799490
-12.0,-11.0,5800.0,-18.0,-17.0,6500.0,13:43:07.210665
-12.0,-11.0,5800.0,-18.0,-17.0,6500.0,13:43:07.617211
-12.0,-11.0,5700.0,-18.0,-17.0,6500.0,13:43:08.036771
-12.0,-11.0,5700.0,-18.0,-17.0,6500.0,13:43:08.444285
-12.0,-11.0,5700.0,-18.0,-17.0,6400.0,13:43:08.866855
81.0,-11.0,5800.0,-139.0,-17.0,6400.0,13:43:09.286714
750.0,444.0,11900.0,-743.0,-491.0,18000.0,13:43:09.709648
869.0,720.0,7700.0,-853.0,-691.0,14900.0,13:43:10.133826
974.0,909.0,15200.0,-945.0,-810.0,22300.0,13:43:10.554345
996.0,920.0,11000.0,-961.0,-930.0,22400.0,13:43:10.978008
999.0,969.0,15500.0,-963.0,-934.0,18600.0,13:43:11.399680
999.0,982.0,17500.0,-963.0,-942.0,16100.0,13:43:11.819807
999.0,989.0,18200.0,-963.0,-934.0,16100.0,13:43:12.227039
999.0,993.0,18800.0,-963.0,-960.0,15700.0,13:43:12.648620
999.0,996.0,19100.0,-963.0,-961.0,19400.0,13:43:13.072613
999.0,999.0,19500.0,-963.0,-961.0,21900.0,13:43:13.492625
999.0,999.0,19500.0,-963.0,-961.0,22800.0,13:43:13.975994
999.0,999.0,19300.0,-963.0,-961.0,23100.0,13:43:14.396307
999.0,999.0,19300.0,-963.0,-961.0,23100.0,13:43:14.818341
999.0,999.0,19300.0,-963.0,-961.0,23100.0,13:43:15.300496
999.0,999.0,19300.0,-963.0,-961.0,23100.0,13:43:15.723686
999.0,999.0,19500.0,-963.0,-961.0,23200.0,13:43:16.144666
999.0,999.0,19400.0,-963.0,-961.0,23200.0,13:43:16.595460
165.0,662.0,14100.0,-173.0,-539.0,16000.0,13:43:17.021611
9.0,91.0,14000.0,-37.0,-252.0,15400.0,13:43:17.427729
-10.0,-17.0,12800.0,-20.0,-106.0,16400.0,13:43:17.849647
-12.0,-12.0,8800.0,-18.0,-68.0,15800.0,13:43:18.272609
-12.0,-12.0,7800.0,-18.0,-48.0,16700.0,13:43:18.695409
-12.0,-12.0,7600.0,-18.0,-37.0,17400.0,13:43:19.103834
-12.0,-12.0,7500.0,-18.0,-28.0,17700.0,13:43:19.530554
-43.0,-12.0,7600.0,27.0,-24.0,18500.0,13:43:19.951389
-473.0,-349.0,13500.0,460.0,24.0,18900.0,13:43:20.372111
-473.0,-647.0,17000.0,681.0,485.0,14200.0,13:43:20.830595
-723.0,-749.0,19100.0,712.0,619.0,14300.0,13:43:21.252486
-743.0,-863.0,19100.0,730.0,680.0,19100.0,13:43:21.705828
-734.0,-723.0,10400.0,722.0,715.0,17600.0,13:43:22.115212
-735.0,-734.0,5100.0,724.0,711.0,14200.0,13:43:22.536074
-730.0,-734.0,2800.0,717.0,712.0,15100.0,13:43:22.959146
-612.0,-724.0,4600.0,579.0,721.0,20100.0,13:43:23.379769
-129.0,-304.0,11000.0,92.0,642.0,13200.0,13:43:23.784893
-27.0,-36.0,9100.0,-5.0,228.0,13000.0,13:43:24.208255
-14.0,-14.0,9600.0,-17.0,33.0,12800.0,13:43:24.630969
-13.0,-14.0,8800.0,-17.0,5.0,14900.0,13:43:25.081933
-12.0,-14.0,10000.0,-18.0,-4.0,16800.0,13:43:25.502428
-12.0,-13.0,10900.0,-18.0,-11.0,18000.0,13:43:25.909210
-12.0,-13.0,11200.0,-18.0,-14.0,18500.0,13:43:26.328894
-12.0,-13.0,11300.0,-18.0,-17.0,19000.0,13:43:26.797241
57.0,10.0,13500.0,-90.0,-19.0,18700.0,13:43:27.205509
476.0,389.0,15200.0,-482.0,-152.0,15800.0,13:43:27.626936
520.0,471.0,12700.0,-482.0,-500.0,14000.0,13:43:28.093661
92.0,208.0,13500.0,-112.0,-529.0,14100.0,13:43:28.516062
-1.0,52.0,13500.0,-26.0,-182.0,11800.0,13:43:28.981070
-11.0,7.0,14300.0,-19.0,-24.0,12300.0,13:43:29.407897
-12.0,-142.0,20500.0,-18.0,-19.0,10800.0,13:43:29.815066
-12.0,-118.0,17900.0,-18.0,-19.0,10800.0,13:43:30.283609
-12.0,50.0,14900.0,-18.0,-19.0,10600.0,13:43:30.705027
-12.0,48.0,18400.0,-18.0,-19.0,10400.0,13:43:31.127939
-12.0,7.0,18200.0,-18.0,-19.0,10200.0,13:43:31.595439
-12.0,-152.0,21100.0,-18.0,-18.0,9900.0,13:43:32.023747
-12.0,-137.0,22400.0,-18.0,-17.0,9600.0,13:43:32.447719
-12.0,-116.0,14400.0,-18.0,-17.0,9300.0,13:43:32.917270
-12.0,49.0,16900.0,-18.0,-16.0,6300.0,13:43:33.325863
-12.0,30.0,18400.0,-18.0,-16.0,5800.0,13:43:33.747702
-12.0,-12.0,16600.0,-18.0,-16.0,5500.0,13:43:34.168325
-12.0,-54.0,15500.0,-18.0,-16.0,5500.0,13:43:34.593587
-34.0,-111.0,17700.0,12.0,-16.0,5500.0,13:43:35.001514
-431.0,-339.0,14200.0,422.0,-16.0,6800.0,13:43:35.469134
-497.0,-516.0,16100.0,478.0,414.0,9000.0,13:43:35.890427
-470.0,-575.0,19100.0,451.0,471.0,10900.0,13:43:36.326910
-450.0,-462.0,13600.0,430.0,446.0,5800.0,13:43:36.749670
-432.0,-390.0,14900.0,412.0,427.0,2000.0,13:43:37.155981
-432.0,-393.0,18200.0,413.0,410.0,1100.0,13:43:37.575879
-493.0,-458.0,17200.0,483.0,408.0,700.0,13:43:37.996631
