скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,16:58:06.302871
0.0,,0.0,0.0,0.0,0.0,0.0,0.27,38.75,31.25,0.0,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.2,-3273.06,16:58:06.328727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,31.25,0.0,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3273.06,16:58:07.595372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,38.75,31.25,0.0,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.96,16:58:08.944018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,31.25,0.0,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.96,16:58:10.333933
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,38.75,31.25,0.0,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.66,16:58:11.628850
0.0,0.0,0.0,0.0,5.27,3.91,10.16,3.29,38.75,31.25,73.11,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.66,16:58:12.911630
0.89,0.92,0.89,0.9,3.0,3.91,10.16,3.29,38.75,31.25,165.31,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.66,16:58:14.268635
0.98,1.01,1.0,1.02,3.21,2.34,10.16,3.29,38.75,31.25,194.41,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.66,16:58:14.751595
1.26,1.14,1.11,1.11,2.0,2.34,10.16,3.02,38.75,31.25,221.67,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.3,-3272.66,16:58:15.141315
1.27,1.14,1.12,1.13,3.0,2.34,10.16,3.02,38.75,31.25,225.28,0.0,-12.0,-2560.0,-40.0,-1.0,-2550.0,-40.0,357.2,-3272.66,16:58:15.514113
