скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.7,4.5,18:03:43.046684
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.7,5.0,18:03:44.297599
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.7,4.2,18:03:45.561810
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.7,4.7,18:03:46.815511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.8,5.0,18:03:48.081036
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.8,4.2,18:03:49.330222
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.8,4.6,18:03:50.578004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.8,4.6,18:03:51.830338
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.8,4.7,18:03:53.100787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.8,4.5,18:03:54.431221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.9,4.6,18:03:55.703974
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.9,4.3,18:03:56.965492
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.9,5.0,18:03:58.230763
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.25,0.0,0.0,-72.0,-2560.0,-40.0,211.0,-2560.0,-40.0,359.9,4.8,18:03:59.490645
